Antibody,A_sasa,D_sasa,E_sasa,F_sasa,G_sasa,H_sasa,I_sasa,K_sasa,L_sasa,M_sasa,N_sasa,P_sasa,Q_sasa,R_sasa,S_sasa,T_sasa,V_sasa,W_sasa,Y_sasa
ADI-15966,1.64882257,2.6727235,1.77394778,0.43517033,8.61595674,0.61441673,1.15122847,4.50098601,0.87595501,0,1.18800137,3.09522435,5.67327796,2.8287567,11.87114659,5.07450216,2.45358219,0.38913346,1.6889613
ADI-15967,3.25018362,2.5119165,2.57115264,0.68358336,9.43634573,0.11984263,0.49751798,3.29012233,3.58491439,0,3.29570558,3.83822678,3.22635438,3.44518965,10.44698754,5.57567651,2.00151448,0.10491965,1.78890672
ADI-15969,2.62418048,3.87925082,2.35274809,0.12191391,9.61290243,0,0.84153293,4.36509082,1.9355562,0.77200931,1.47865534,3.7869111,5.38512366,1.45083729,11.2566147,4.4051438,2.04875193,0.17164223,1.77423496
ADI-15970,1.71817923,1.74056124,2.03704713,1.29651712,11.01955033,0,0.22188744,3.95327711,2.6087647,0,2.1708449,3.6941936,4.47462636,1.54873996,13.16824117,5.30423222,1.61584626,0.99442881,1.49724455
ADI-15971,2.16495253,3.2854668,3.8925598,1.76520747,10.25408701,0.91754536,0.43849732,3.90347539,1.76042783,0,0.63255846,3.19791144,3.14376278,3.42129491,8.84212033,4.44341303,2.13755657,0.34316872,1.17247844
ADI-15972,1.76539635,1.81524171,1.81368784,0.328974,6.80010077,0.40545586,1.516401,4.96691593,0.84419578,0,1.34340505,3.78104347,4.66237799,2.2603946,15.31821499,6.54644805,0.80990957,0.22972355,1.72909716
ADI-15974,2.39389778,0.95146547,3.40210676,0.26552392,8.31467653,0,0.52073765,3.73410169,0.23822376,0,0.97452187,4.61616125,5.13853625,3.33700054,10.84451852,9.44897788,2.02901605,0.75580666,1.23502489
ADI-15975,2.57925199,1.38860901,2.99820577,0.35027958,6.56124968,0.44722801,0.67966019,5.18341216,1.2699492,0.18885031,1.75561043,4.87899356,2.64506904,2.5407058,14.03092823,6.13266792,1.40455163,0.78436859,1.65423138
ADI-15976,2.79214607,1.26990947,3.29964584,0.14186096,6.88920834,0,1.46781353,4.14616961,1.51074922,0,1.3042402,5.15402451,2.86902184,2.73996323,12.76258081,7.64478514,1.47354547,0.93620559,1.8666219
ADI-15977,2.50909248,1.91686592,2.60154285,0,8.32088054,0.66498663,0.20973682,4.39300178,2.16551956,0,1.66392182,4.47530252,4.8198979,2.71558496,13.17706114,4.45158036,1.05369342,0.40423481,1.87394096
ADI-15978,2.15147146,1.80026033,2.60944251,0,7.12064554,0.71246775,0.19712566,3.97771708,1.90281085,0,1.8118223,4.11431466,5.69666223,2.51112819,13.68387408,4.64211051,1.3493047,0.7359557,1.96110243
ADI-15979,0.87546974,3.61064462,2.86016882,0.8539765,9.24606346,0.30852442,0.26779644,3.33001949,1.78026431,0,1.951835,3.81742901,4.1007794,3.45991629,10.73873919,4.58425013,3.35764425,0.13227143,1.93440708
ADI-15980,1.49194889,2.42807712,2.15934045,0,7.59210882,0.32484798,0.74399185,3.80737336,1.37971852,0,1.86846107,4.13381069,6.64781178,3.73869002,11.80052187,5.01567031,1.87076857,0.21197388,2.55676753
ADI-15981,2.71547712,1.10673543,3.42017911,0.49771169,7.66656626,0,0.95694698,2.81445635,0.13191293,0,1.05363369,3.31911746,6.07903613,3.31207887,11.29851693,7.29587018,2.52421915,0.16907082,1.53799048
ADI-15983,1.61292618,2.33943656,3.51007211,0,8.30489494,0.31831048,1.02909479,4.46676569,1.23133464,0.27322098,1.29415474,4.63861745,4.7116317,3.36736145,11.00857559,5.22141633,2.42832308,0,2.79735982
ADI-15985,2.83630026,1.66024151,2.5513722,0.12101277,7.70264457,0.24732855,1.36523919,4.77432152,1.11169425,0,0.86897503,5.42925153,3.91905367,3.76916319,12.18788149,5.97348401,2.39309644,0.4335017,0.60925819
ADI-15986,1.59392838,2.04380223,2.12175548,0.75369892,9.98474522,0,0.60327168,3.29151493,2.96667496,0,1.20993849,3.51723019,3.90508539,2.24414695,13.72239612,6.29977021,1.34317808,0.57701576,1.27955259
ADI-15988,1.12818256,1.6547116,2.82644388,0.77763357,8.37252466,0.15197868,1.15731146,3.59203064,1.93877838,0,0.62850283,4.3534477,4.78930708,4.18612369,13.41212794,5.9134176,2.28351612,0,1.55771545
ADI-15989,2.51859938,1.04143804,1.75721731,0,8.65108181,0.31465458,1.3056448,4.53969431,2.7944368,0.64748589,2.04467747,2.71260832,5.09949094,2.21105812,12.66630439,5.2871885,2.12154208,0,1.61619447
ADI-15990,1.34736347,2.71266128,1.89273267,0.27880585,5.86098696,0,0.65226424,4.61944408,2.15946247,0.57631327,2.7954899,4.16349553,4.09922488,2.32538342,15.76904723,5.01500978,2.05183346,0.85319435,1.99373171
ADI-15991,1.9301323,2.04862703,3.14983583,0.12736495,7.24248685,0,0.45987389,4.43221569,1.14853654,0,1.68043404,3.45758992,5.54459373,4.02196204,11.28834701,6.75507888,2.03819529,0.61701411,2.86604713
ADI-15992,2.80590544,1.34351472,3.72564812,0.72922465,8.92428732,0,0.88480998,2.98064804,1.61709949,0,3.08263841,3.81411549,4.57376155,2.82843488,11.68703471,4.33984618,1.88332196,0.37016502,1.39179457
ADI-15993,2.00785712,2.67140836,3.50462194,0.46082424,9.75196484,0.16609501,0.49193962,4.05237055,1.3733677,0,0.91701931,3.52316102,3.30891482,4.20742366,13.11331234,4.8363273,2.70348778,0.89757042,3.0322854
ADI-15994,2.00027472,2.89104127,3.13485116,0.53484361,9.9128036,0,1.0115041,3.53805049,2.15693304,0,1.99485442,3.77789237,3.48766313,3.50052471,10.30928623,5.53179587,1.71833252,0,1.96718216
ADI-15995,1.75052553,1.67688768,2.32431565,0.57642776,9.48232959,1.66246762,0.60281494,4.97641324,0.69848877,0,0.82952833,3.7604551,4.69119057,2.20738313,13.67811239,6.38992322,2.35566659,0.56178261,1.82770453
ADI-15996,0.85317616,3.45598365,3.53172851,0.41275917,8.34973462,0,0.47276911,3.4304027,1.50902176,0.15974261,1.33203597,4.10149576,6.21360653,2.01602533,11.8654607,4.51832798,2.58864245,0.46124748,1.88611799
ADI-15997,2.34296649,1.95752917,3.9962754,0.66730147,8.05770245,0,2.36853409,5.56862835,1.21824343,0.21670643,0.84305905,4.83279847,3.72035945,3.66060736,9.90427978,5.22060406,1.90325379,0.71972824,1.16140307
ADI-15998,2.62584426,2.8954292,3.23426193,0.62151964,9.21819601,0.22667927,0.6897995,3.91285302,1.98182262,0,1.83787712,3.9234221,3.63405877,2.41198637,11.25203626,3.81455431,2.81678965,0,2.80641414
ADI-15999,2.46345395,3.14646137,3.40827999,0.86664313,9.58788449,0,1.04984779,3.21031105,1.56263056,0,1.02265739,4.09850848,3.85905955,3.53187499,12.03905494,4.79578457,1.9463053,0.12159838,1.01101658
ADI-16000,2.76196526,2.32495047,2.08552669,0.49622883,7.47803327,0,0.24181852,3.42341774,2.97401771,0.13678022,1.45653569,3.72521352,2.81350636,2.9574615,17.87026597,5.64564874,1.01540672,0.79100172,1.40521857
ADI-16001,1.98174217,3.6650264,3.3030632,0.21117228,8.3896266,0,0.29097893,6.52967075,2.0417599,0,2.96866571,4.46297081,3.28369664,0.97576969,11.7331248,6.12310996,2.59754915,0.48701111,1.41980026
ADI-16002,1.78621643,3.06952728,3.31580004,0.1436854,8.95211524,0,0.40162226,3.24441928,1.28596672,0.31833117,1.91031816,3.54994236,3.22151218,4.87886066,10.99843014,2.93594273,3.82981299,0.60285358,2.48358329
ADI-16005,1.73092134,2.61580634,1.25170131,0.39043205,6.63204996,0.44260448,0.49382055,4.96606383,1.66211031,0,1.39840462,3.47185885,3.63594194,2.92121522,12.57615407,5.49139923,0.98753531,1.62429711,2.9126378
ADI-16007,1.35862232,3.51589149,1.63705506,0.14116494,7.96734452,0.32581139,1.32098011,4.49283691,2.25629535,0,2.0805788,3.47834082,5.61357768,2.40745906,13.41709539,6.06368619,1.86762298,0.33028883,3.81304862
ADI-16009,1.7936374,2.62008955,1.8831564,1.12343523,8.17657693,0,1.86820903,4.00143512,1.56164949,0.15778202,1.56575767,3.41594287,4.40203175,2.39304992,14.21883102,4.18566495,1.36036696,0,1.57555896
ADI-16010,3.37860129,3.21198615,2.2479097,1.123482,7.46021954,0,0.50406551,4.33988128,1.21732901,0,1.30533255,3.4793205,4.27719194,3.30608898,11.38298077,5.45207747,1.75735487,0.52166636,1.81923107
ADI-16011,1.86269976,2.46612661,3.99806298,0.41019595,8.68637384,0.11663921,0.97963734,3.51268972,2.50200516,0,2.33026661,4.2037168,4.39738737,3.2216798,12.3191042,3.24806195,2.7199496,0.35125919,1.59453865
ADI-16012,3.73030808,2.06395056,3.09678774,0.55977226,7.57701787,0.31860708,0.96004761,3.86182017,1.26669908,0,1.72855219,3.68479459,4.94460727,3.26390664,10.63510693,5.1512727,2.28629418,0.27310055,0.71063917
ADI-16013,2.61944078,1.73430311,3.80281037,0.24397897,7.58248358,0,0.61688919,3.85489277,1.975086,0.25607531,1.05582281,3.85612436,4.39642332,2.71578466,12.91902138,5.03351443,1.57763676,0.45867146,2.28690983
ADI-16014,1.56438237,2.04774208,1.14308422,0.95543949,9.94865005,0.1609096,0,3.67326486,2.1687309,0,2.24578923,3.9838319,3.77310446,1.72544162,14.33286114,6.04759667,1.86995742,0.39758617,1.57937239
ADI-16015,1.64174235,3.44842248,2.09643534,0.31530586,8.22206461,0.23433147,0.32078621,4.56215325,1.07103619,0.62859528,1.9270802,3.24612652,3.74724881,3.76755054,12.99835095,3.85044032,3.52662075,0.22125324,1.84045755
ADI-16016,2.20574895,3.15552923,3.66560711,0.12708965,8.79022122,0,0.39927746,4.23933219,3.94804879,0,1.898997,4.29737012,3.85550182,3.14109084,10.92721234,3.73432397,2.13152786,0.17239122,1.17315706
ADI-16017,1.16969437,2.51617296,2.07402668,0.94137328,7.62797828,0.3598431,0.60632219,3.19358689,2.51452349,0,0.76145454,4.31992366,4.78388714,2.43499981,14.93603689,6.03003485,1.33312305,0,2.56667289
ADI-16019,1.70070198,2.51719948,1.87845301,0.36861263,7.25107678,0.77389893,0.60891554,4.96160622,1.61648414,0.65120186,2.20229924,3.17383406,2.63607998,1.53954435,17.77562945,6.78516924,0.80338963,0,2.58402153
ADI-16021,2.94855008,1.7968737,3.37901966,0.13135015,7.87290887,0,1.05077707,3.23900995,1.87930251,0.10917702,2.04625949,2.973796,5.28521332,4.56906488,11.15416952,5.58176774,1.55283451,0.10240211,1.82515772
ADI-16022,1.46094264,2.8742106,2.23065227,0.21995739,7.6360074,0.39727936,0.51280285,4.80111939,1.16427669,0,2.08048285,3.12512767,5.86495475,3.50314692,11.42912335,4.06383515,1.54675743,0.68568709,2.12554462
ADI-16023,1.58274714,2.92552377,2.90765991,0.77787119,7.70577906,0.20920549,0.94342167,4.11288717,0.59665049,0.40878048,0.5708049,4.16668044,4.34938984,2.97019699,12.3906574,4.36060403,1.43094516,0.36072269,2.59517282
ADI-16024,2.69356842,1.57243554,2.33498003,0.54227295,9.75310684,0.7623711,1.40496517,3.36154469,1.77801504,0,2.80145629,2.54836143,4.27838687,2.44549749,12.17982095,5.46375273,3.14452191,0,1.35450161
ADI-16026,3.71683936,2.08723686,2.55878449,0.12235281,6.32412111,1.59256035,1.99058155,4.33248428,0.7388008,0,0.25550762,5.23887821,5.28030179,3.4756763,12.30749791,5.78229354,1.81652343,1.29528065,1.11565641
ADI-16028,1.94288033,2.49412421,1.35930991,0.37357475,6.43202724,0.1339593,0.5424687,5.44610754,1.48684113,0,0.820798,4.15144773,3.98190335,2.40597337,16.30254677,6.19965514,1.08540489,0.26240868,1.64268703
ADI-16029,2.75394196,1.92368213,3.31044789,1.41750292,10.87082411,0,0.12766346,3.23754809,0.94772867,0.30335348,0.82498746,3.45039736,4.02740755,3.82971155,11.86319606,5.57929816,1.42365399,0,1.41642435
ADI-16030,1.25551356,2.61261845,3.11891829,0.35927776,8.69920148,0,1.89070217,3.85925717,1.3230366,0,1.35222328,4.0872518,5.53278389,3.93607436,11.26745117,6.25752962,2.68829876,0,0.73950746
ADI-16031,2.20876793,1.65123827,3.2222215,0,7.76939001,0.63063154,0.19699055,4.32537979,2.1956155,0,1.73723785,4.63358495,3.91374004,3.34091392,13.43981852,4.62792216,2.04310485,0.41200996,1.37404838
ADI-16032,1.82713561,3.77773531,2.49608661,0.28775975,7.70977584,0,1.01150882,5.5366805,1.25154254,0.33993114,0.9748888,3.25073657,2.90160158,2.26476586,12.5066833,4.5820878,2.41786049,0.22658569,1.48109368
ADI-16034,1.73637694,1.68234531,1.86228677,0.30134546,6.83547986,0.87352017,0.53515206,5.65181822,2.37680435,0,0.9678296,4.03678287,3.05427385,2.58103186,16.78342405,5.18691232,2.65565984,0,0.78044901
ADI-16036,2.65297654,1.66656269,3.71528659,1.41496167,9.06590046,0,0.4593163,2.97348862,2.18805775,0,1.95194191,2.86708938,3.81234575,2.78238477,11.72274141,5.80384717,2.49571823,0.28358849,1.0504592
ADI-16037,2.50760366,2.43372984,2.78264206,0.31778124,8.59169194,0,1.64613229,3.55233004,3.60383117,0,2.25844384,4.18398362,3.30255346,3.29490165,12.03967587,4.79621387,2.12190279,0.24284668,1.82149409
ADI-16038,1.40005271,2.9893944,0.70685957,0.31465277,5.48993128,0,0.17818707,5.20806492,1.4738157,0,0.91596222,4.82779658,4.47343215,2.67574556,17.72498354,4.99377232,1.14480796,0.36659584,1.87916699
ADI-16039,1.53036183,3.18202693,1.85398761,1.11208195,6.11591506,0,1.29954596,4.51738331,0.79831499,0,1.10215118,3.33822559,5.00779015,3.15461213,11.52854553,5.85626745,2.4056634,1.24705504,3.15944292
ADI-16040,3.07525316,1.88312058,2.02074774,0,7.00331601,0.28085175,1.40482814,4.28797657,0.72048578,0.32146927,1.29700691,3.3759694,5.35204828,1.80949827,13.94357208,9.40290221,1.26738841,1.4698917,2.41973139
ADI-16041,2.16033306,1.98887772,2.44862833,0.30941656,7.52606974,0.51301823,0.18727236,4.98570606,2.15095817,0,1.34864441,4.50975554,3.33685056,1.61952447,15.8794609,6.01224066,1.81240379,0.66595104,2.28305219
ADI-16042,2.59454464,3.13782386,2.67498585,1.03538899,8.19100103,0.1240456,1.39523318,4.42849,1.45615179,0,2.42814322,3.21292052,3.29852026,3.40631795,12.07461126,5.5374262,3.08071715,0.19938869,2.35500532
ADI-16044,0.99143397,1.86324387,3.68574414,1.02123786,8.39658376,0,2.0810016,5.26077191,0.64675647,0,0,4.69955337,4.70368103,3.15257506,11.65933239,5.93882802,2.97736022,0.56977379,0.79038812
ADI-16048,2.0579784,1.36677515,1.50750744,0.5199307,7.91642022,0.29932699,0.17995016,5.29783743,1.41605882,0,0.96982151,3.83987636,4.50712261,3.09170418,14.82840429,6.14613176,1.13168691,0,2.54049812
ADI-16049,2.43504356,2.61674271,2.03505242,0.11179851,7.84766919,0.1589059,1.51982803,4.19316669,2.82541691,0.11548964,1.96945583,3.68419547,3.96367086,1.71056704,15.18907463,6.32040834,1.0560411,0,1.5712124
ADI-16050,2.79956756,2.28989733,2.59137587,0.28031788,7.63223165,0.45738506,0.53935009,3.41245684,2.16505531,0,2.37489442,4.38888183,5.02632654,1.99191706,12.44017156,5.63039376,1.31660903,0.47493443,1.70826787
ADI-16052,2.75887154,3.44021815,3.31007747,0.12016677,8.54918387,0.72466511,1.0137855,5.26510288,2.10685966,0,0.64959208,3.04744499,4.08198481,3.47968111,9.71040802,4.26694562,2.97490553,0.22491369,1.48491679
ADI-16053,3.26830529,2.78947322,4.83566199,0.12564745,8.01009805,0,0.9006995,2.72313467,1.86965957,0.46139843,2.46937116,3.49855632,3.45045138,2.74731612,11.28828885,4.10181735,1.82097904,0,2.48852868
ADI-16055,1.92823655,3.18724575,3.91464028,0.63112631,5.47820787,0,0.85079095,4.36522058,1.10059637,0,1.51621192,3.15575194,4.02534886,3.64522328,13.4866465,3.83103989,3.02867468,0,3.13273098
ADI-16056,3.28709575,1.82193181,3.02173004,0.25587284,7.59447257,0,0.80115969,3.90231989,2.03450396,0,2.35079788,3.01398137,3.88098135,2.70848092,11.99482984,5.5431106,1.86624988,0.27923256,1.44083092
ADI-16058,1.51074034,2.04243484,3.22580989,0.48495667,7.75403323,0,0.5745274,4.06942716,1.24372609,0,1.08423992,3.99334971,5.28990726,3.43554386,11.59130025,5.45441787,3.55522645,0.15773486,1.19208585
ADI-16059,1.63381194,2.27553011,2.06051096,0.98573324,10.14997699,0,0.51509483,4.08127004,2.78150363,0,3.54466913,3.7295684,4.4002464,1.53831125,11.58246016,5.61124498,0.9839341,0.46324303,1.92031183
ADI-16060,1.33473138,1.62648451,2.44907472,0.77013437,6.23328296,0,0.76157759,5.34701266,1.84615755,0.283508,1.08513679,4.21392287,2.74258579,1.82149882,15.21321508,6.46176846,2.13178645,0.28265343,1.51129764
ADI-16061,3.06412834,1.9235727,2.79922236,0.85162506,8.40400927,0,1.44634243,3.37904147,0.35490414,0,0.37749706,5.19127467,5.20567042,3.07668011,10.06118364,7.21549536,2.8740279,0.81706612,1.63629854
ADI-16062,1.95549476,2.58643632,1.32518947,0.38830753,6.81620584,0.41253574,0.83934973,5.51882883,1.72704304,0,0.47722608,3.66619635,3.10472155,2.88426324,15.89131778,5.29273516,1.66337717,0.47116791,2.54282046
ADI-16063,2.50764894,2.13747698,1.70581184,0,8.58512227,0.80857238,0.73321438,4.94264026,1.81257671,0,2.82601852,4.32401403,2.27252743,2.36040976,14.04854701,5.26331217,2.39108408,0.94557722,1.48057841
ADI-18875,1.75404705,1.52543351,2.37851046,0.85516667,8.10462747,0.60479126,0.19969379,3.99263912,0.94935814,0,2.22109043,3.36979342,5.05472019,2.35419355,14.24934044,6.41850043,1.59933529,0.48920334,2.15325142
ADI-18876,1.39906003,2.31983695,2.47617063,0.34471561,6.7393284,0,0.30343668,3.06355286,1.83536909,0,0.51961291,5.61541465,4.05574261,2.63079807,15.90791418,7.12659614,2.4691568,0,1.19470769
ADI-18877,1.88014613,3.05507415,2.0375689,0.763486,7.77493318,0.6959972,0.40542243,4.86904005,1.38943905,0,1.83482351,3.70391807,5.6912621,3.04108872,10.70529726,5.92545412,1.98976173,0.33371353,2.05123716
ADI-18878,1.67435606,3.45069365,2.05880626,0.31914379,8.10447833,0.40511623,0.8925746,3.78887649,1.09738563,0.23877855,0.42959943,4.16186548,5.17357568,3.24782123,12.4932601,6.34741434,1.30596811,0.56117031,1.89142727
ADI-18879,1.42732988,3.28314662,2.33930955,0,8.94971471,1.12929914,0.61263357,3.2725139,1.30620467,0,2.4545984,3.98239845,5.22959428,3.83582372,10.54729568,5.76744807,1.59911951,0.62814869,1.56007564
ADI-18880,2.8927405,2.73817743,2.83995638,0,7.17181821,0.60017057,1.31422023,4.67797299,1.49868538,0.16219252,2.48288035,3.67899334,5.58578088,2.72959227,10.97620445,4.7801296,2.39738961,0.73613407,1.53621435
ADI-18882,1.69768017,3.07173376,3.20011362,1.76074942,9.14013996,0.21435648,1.24635954,3.17185589,1.1525636,0.22458725,0,4.28495033,4.20538459,3.47747169,10.07361422,6.20537996,2.24951294,0.59606518,1.68998631
ADI-18883,2.3948552,2.3168843,3.18109306,0.68357381,6.38917884,0,1.75090432,3.74993344,1.86620222,0,0.70161243,4.46372549,4.51901185,2.70667342,13.10850629,7.30572063,3.65944988,0.52209019,0.79369929
ADI-18884,2.06812194,2.38064731,2.96585379,0.10920515,8.04632478,0.82128318,1.06565229,3.73469844,1.60660641,0.55178837,2.31140396,4.78940307,5.57683937,2.9699003,10.81943542,4.33020737,2.45643164,0.15224825,1.28036881
ADI-18885,1.4793455,2.21961296,3.13562247,0.27443441,8.45749377,0.18372549,0.98845937,3.69328283,2.72926745,0,1.61536423,3.41985812,4.39164888,3.20599707,11.87335701,6.33647002,0.51652566,0.6402375,1.70358304
ADI-18888,0.95323962,2.66527289,2.91175776,1.16383561,7.32409935,0.30694479,0,3.45673139,0.58729554,0.45197376,1.32851828,3.29759229,3.93026603,4.25158579,12.8553718,5.77051039,2.30108459,0.44758522,1.81208595
ADI-18889,1.6946999,2.06085825,1.30043912,1.09699963,7.87597466,0.82001289,0.23937372,3.40050945,0.89036787,0,3.47176631,2.84596607,4.53797117,3.49388714,13.26862612,6.71981951,2.64763038,1.08971807,1.47063856
ADI-18891,1.96682345,1.83623894,3.41476225,1.11260672,9.62442789,0.17479162,0.35208886,4.08894636,2.05761958,0,0.77990002,4.39421884,4.53752362,2.68194091,9.52992382,6.89629699,1.53411597,0.65639023,1.78785855
ADI-18892,1.67597779,3.04170637,2.38654588,1.02380422,7.37215707,0,0.51226152,3.04113352,2.19653619,0,1.80468706,3.59626947,6.37094003,3.44180219,11.2119905,4.77790966,2.77289061,0.35607571,2.35129059
ADI-18893,3.06392458,2.16376562,2.89203156,0.13925474,11.1926037,0,0.35763603,3.31167562,3.20231482,0,3.54299728,3.61212576,2.84844687,2.25385843,10.3114131,4.30909228,1.48638703,0,3.00930273
ADI-18894,1.77361157,1.0822316,2.88414467,0,9.79951578,0,0.51567486,3.2630133,2.29364386,0,2.86451198,4.46085633,4.58812805,2.14336714,12.76318754,3.75897955,2.32045245,0,4.20906088
ADI-18895,0.77794361,3.72820124,1.5656714,0,6.27373109,0.23269552,1.92152152,6.06874841,2.70088888,0.42056956,1.27411314,5.25668151,4.63220546,3.12219235,12.85368305,3.44881392,2.05373557,0.22579464,1.97071636
ADI-18896,2.3871479,3.09822377,3.87751872,0.71125758,7.24863962,0,1.45825062,3.2992095,1.31659189,0.19246572,1.85312042,2.90952567,4.37070962,3.60418575,11.49558454,5.14446757,1.0519954,0.75741747,2.11744635
ADI-18897,3.30295554,3.38238216,4.6826399,0.55169518,7.97290603,0.98741077,0.95404519,3.7278229,2.35369032,0,1.75944164,3.17439233,4.23681314,2.12067404,10.72831619,4.61216603,2.70265557,0.67326898,1.42653613
ADI-18899,2.663565,3.31156334,3.52293669,0.51654188,7.26024007,0,1.76022014,3.30734906,0.62009686,0.16953613,2.05233453,2.82057425,4.3244001,3.86150576,11.9690752,4.5134589,1.54115798,0.82688448,1.7884618
ADI-18900,1.54002724,1.77450006,3.428638,0.47000044,7.09604723,0.32507977,0.83748947,3.63494088,2.03230032,0.32242035,1.83658466,2.75993466,3.11399331,3.18884239,13.42020209,4.39779587,2.07257652,0.28483593,1.55132578
ADI-18901,3.89184207,2.83632623,2.30411597,0.37998202,7.48536044,0.93928067,0.43348,3.25897803,2.44697376,0,1.77385961,4.10453738,4.09295396,1.8029226,14.06314755,5.05610037,2.44093801,0.37566804,1.76019777
ADI-18903,1.38197863,2.81257811,3.56629886,0,8.38778637,1.08271437,0.45389724,3.06479559,0.98532589,0,2.44364931,3.98659823,4.7186286,3.83566613,10.58641624,6.72018804,1.86659346,0.8413678,1.57303273
ADI-18904,2.85066346,3.21211733,3.06390138,0.11274348,7.31456876,0.40257704,1.31837666,4.39935104,1.49286694,0.21200657,2.53052867,3.41971146,4.82358685,2.54784052,11.05319165,4.93147488,2.27524239,0.69010231,1.55629427
ADI-18906,0.92450798,2.57883573,3.76772899,1.1961956,7.42824737,0.26158525,0,3.42072237,0.62373515,0.48507977,1.38957462,3.34454759,2.90450218,4.37171209,12.69401719,5.76802705,2.10646659,0.38537367,1.8230587
ADI-18909,1.23936728,3.14951463,1.72419254,0.83823227,7.26286662,0.64360527,0.36202248,4.25991661,1.40216989,0.26403336,2.76300943,4.02564118,5.23560611,2.93910174,12.30867582,5.98931273,1.2170098,0.68977242,1.42818601
ADI-18910,1.93052846,3.33651884,3.3794023,1.42422699,6.6899439,0,1.05538727,4.59454923,1.84955218,0.36892052,1.13461564,5.19580874,5.90979213,2.05750113,10.95269404,5.02503162,2.70107743,0,0.92703339
ADI-18911,2.85079539,4.57834668,1.63524101,0.19998034,6.64726017,0,1.80927803,5.35528902,1.05782328,0.22019239,1.18801159,3.53636833,4.9836454,2.229981,12.36012719,4.70657001,1.24338329,0.23504555,1.21588691
ADI-18912,4.01328869,1.9015638,3.70851451,0.10097318,9.95945234,0,0.56792311,3.49491772,3.04498958,0.4366909,2.19303662,3.96330785,2.22925204,3.13098632,12.61891018,2.73315745,2.10051081,0,2.54828429
ADI-18918,2.76436332,1.62884962,3.8672079,0.69965626,6.9783343,0,1.38123047,3.60345466,1.25737594,0.20373594,1.86971119,3.5193778,4.56296184,2.44762305,12.76950061,4.73319182,2.32807715,0.532362,1.40787432
ADI-18920,1.92923808,3.59447742,3.58971815,0.56664859,8.7183056,0.130832,0,3.42095351,3.42330486,0.2980072,2.13683762,3.46210979,4.10642441,3.26683106,11.3464088,4.91576738,1.8408374,0.73523238,1.24113009
ADI-18921,2.44312447,2.96160455,3.8293798,0.48365097,6.21960155,0.15687297,1.21905476,4.28862507,0.87599362,0,0,4.27116462,4.9962117,3.45242055,13.21402017,4.35396227,1.98509932,0,2.37525467
ADI-18922,3.12773495,1.74506853,2.11732289,0.98991083,7.10380304,1.16256905,0.91729964,3.3757636,0.88753897,0,1.67517741,4.65599621,4.27017212,2.59660429,13.56476387,5.35325473,0.89419005,1.0208255,1.37787556
ADI-18925,2.01499623,2.48596615,3.05807788,0,6.75853831,0,0.70598709,3.46485014,1.40018773,0,1.53924927,5.20107886,3.70783752,3.26646872,11.73696061,4.48263061,2.686397,0.3962149,2.21084255
ADI-18926,2.63832276,4.19148641,2.55056421,0.61042456,8.00268118,0.84214184,0.55652757,4.06339478,1.54508979,0,1.87289046,4.1062501,3.76670799,3.7064192,9.99118922,4.95560775,2.48455884,0.17915743,1.96050889
ADI-18927,1.73904149,2.98836077,1.71591585,1.97971497,6.96355267,0.24370346,1.46801239,4.28536842,0.81420574,0,2.35812576,4.02448776,4.8137439,2.92228894,10.42936563,5.17605463,2.54021134,0.14235511,1.60069825
ADI-18929,2.13844558,3.00394267,2.83560639,0,10.25661749,0.46419598,0.62987982,3.75992093,1.88489272,0,2.49834965,4.59544287,3.98892216,2.75445858,11.52891531,5.44008315,4.37948974,0.12379206,1.49773058
ADI-18931,2.86921562,1.2741459,3.59383257,0.8319567,8.10604516,0.35075329,0.59739363,4.56158394,1.04407532,0,1.32331381,2.89389078,3.62992081,4.09381256,11.42960163,6.39686244,3.53988902,0.62740002,2.10978068
ADI-18933,2.12009834,2.69122249,2.40969853,0.41936362,9.42397219,0.36165169,1.24512882,4.69813004,1.40166148,0,0.84107406,3.5633666,3.57604611,2.6261376,12.64136137,5.90741702,1.90758608,0,3.44407294
ADI-18935,2.35928169,1.66293517,1.54630704,0.60096243,7.56286367,0.41887737,0.19192461,2.93850453,1.56957716,0.39481983,1.49917179,4.91608529,4.15893685,3.38042832,14.40343885,7.0688131,1.36854391,0,1.52096351
ADI-18936,2.21407488,2.76404833,2.07698715,0.13545695,7.21548333,0,1.13756531,4.01192592,1.58253381,0,0.74622978,4.55943451,3.75394455,2.82821158,12.33075978,5.71450266,2.44447617,0,2.09091106
ADI-18937,2.10201037,2.53048481,2.31414333,0.4433377,8.21406786,0.97707317,0.17143017,2.75798983,1.81881607,0.12747688,1.11206247,5.09507961,4.56146132,4.13787203,11.03186295,6.02148979,2.30408511,0,2.9744714
ADI-18939,2.34625409,2.53838713,1.67358388,1.56340526,7.75985231,0.26055065,0.1903359,5.11278212,0.89992819,0,1.91084668,3.33600575,3.82615899,2.67530537,14.20611916,6.928091,1.47379077,0.53651909,2.30704918
ADI-18941,3.64820879,2.55139651,3.53643474,0.15984046,6.64800172,0.63049651,0.9276363,4.45136614,0.49136527,0.37624872,0.7594693,3.55768193,4.06400452,3.07996639,11.74343162,4.69420381,2.21836837,0.58488699,0.9929421
